source,destination,cost,duration_minutes,flight_number,distance_miles
ATL,ORD,85,120,DL1234,606
ATL,DFW,125,150,DL2456,731
ATL,CLT,65,75,DL3789,227
ATL,MCO,75,105,DL4567,404
ATL,MIA,95,125,DL5678,595
ATL,DEN,135,195,DL6789,1199
ATL,IAH,145,165,DL7890,689
ORD,ATL,89,115,UA1111,606
ORD,DEN,115,145,UA2222,888
ORD,DFW,95,125,AA3333,802
ORD,LAX,155,245,UA4444,1744
ORD,MSP,75,85,DL5555,334
ORD,DTW,85,95,DL6666,235
ORD,EWR,105,135,UA7777,719
DFW,ATL,129,145,AA1234,731
DFW,ORD,99,120,AA2345,802
DFW,IAH,55,65,AA3456,224
DFW,PHX,75,155,AA4567,868
DFW,DEN,125,165,AA5678,641
DFW,LAX,135,185,AA6789,1235
DFW,MIA,165,175,AA7890,1121
DEN,ATL,139,190,UA1122,1199
DEN,ORD,119,140,UA2233,888
DEN,DFW,129,160,UA3344,641
DEN,LAX,95,145,WN4455,862
DEN,SFO,105,155,UA5566,967
DEN,SEA,125,165,UA6677,1024
DEN,PHX,65,115,WN7788,586
LAX,DFW,139,180,AA1357,1235
LAX,ORD,159,240,UA2468,1744
LAX,SFO,85,85,UA3579,337
LAX,DEN,99,150,WN4680,862
LAX,PHX,75,95,WN5791,369
LAX,SEA,115,175,DL6802,954
LAX,LAS,45,70,WN7913,236
SFO,LAX,89,80,UA1246,337
SFO,SEA,95,130,DL2357,679
SFO,DEN,109,150,UA3468,967
SFO,ORD,149,250,UA4579,1846
SFO,PDX,85,105,DL5680,550
SFO,SLC,115,135,DL6791,599
SEA,SFO,99,125,DL1357,679
SEA,LAX,119,170,DL2468,954
SEA,DEN,129,160,UA3579,1024
SEA,PDX,55,55,AS4680,129
SEA,ANC,185,215,AS5791,1448
SEA,BOI,75,95,AS6802,404
PHX,LAX,79,90,WN1468,369
PHX,DEN,69,120,WN2579,586
PHX,DFW,79,150,AA3680,868
PHX,LAS,55,75,WN4791,255
PHX,SAN,65,85,WN5802,304
PHX,ABQ,75,95,WN6913,328
LAS,LAX,49,65,WN1579,236
LAS,DEN,55,100,WN2680,628
LAS,PHX,59,80,WN3791,255
LAS,SFO,79,105,WN4802,414
LAS,SLC,65,90,WN5913,368
LAS,SAN,69,85,WN6024,258
MCO,ATL,69,100,DL1680,404
MCO,MIA,75,65,AA2791,192
MCO,CLT,95,115,AA3802,467
MCO,TPA,45,45,WN4913,85
MCO,JAX,49,50,B65024,141
MCO,BOS,135,185,B66135,1123
MIA,ATL,89,125,DL1791,595
MIA,MCO,79,70,AA2802,192
MIA,FLL,39,35,AA3913,21
MIA,DFW,169,185,AA4024,1121
MIA,CLT,115,140,AA5135,647
MIA,IAH,155,175,AA6246,964
